arrival_rate_rps,trial,policy,n_requests,mean_latency_s,p50_latency_s,p90_latency_s,mean_wait_s,p90_wait_s,mean_batch_size,mean_hetero_penalty,throughput_rps
0.2,0,fifo_mixed_window,300,5.218209270162955,5.2367499964347815,9.661400988631751,1.4747059965048372,4.608917701083624,1.5,1.0244737075044812,0.1967146125251631
0.2,0,lane_split_window,300,5.254594110553499,5.2367499964347815,9.749544520529403,1.794458693193704,5.700280323086408,1.3666666666666667,1.0154207377319369,0.1967146125251631
0.2,0,length_similarity_window,300,5.334550888829066,5.30466803959121,9.958699999999917,1.9349034511198488,5.737832682657415,1.2466666666666666,1.004720490212676,0.1967146125251631
0.2,0,full_rules_continuous,300,5.3554828789050575,5.30466803959121,9.816362606751618,2.006935341984407,5.8527563455381495,1.2133333333333334,1.003789562053229,0.1967146125251631
0.2,1,fifo_mixed_window,300,4.9591432486996005,4.851599999999991,9.60571250165639,1.3003623247730596,4.330114233864654,1.4533333333333334,1.0237751303394949,0.19960864986015403
0.2,1,lane_split_window,300,4.998055735017651,4.773989503633743,10.197139007860285,1.557031677821091,4.869906189698092,1.3266666666666667,1.0134341895102381,0.19960864986015403
0.2,1,length_similarity_window,300,5.13882868282303,4.99394683374328,10.237911039833609,1.7937823687239556,5.2770782483548855,1.1866666666666668,1.0022752826877528,0.19960864986015403
0.2,1,full_rules_continuous,300,5.263599306809915,5.063653085751682,10.692721089313137,1.9177843996077737,5.597832756645142,1.18,1.0022799891087464,0.19947709261408322
0.2,2,fifo_mixed_window,300,5.676712369648468,5.621886908537476,10.955404423403817,1.6591649355619615,4.927690464209053,1.7466666666666666,1.0339476139946862,0.19291860978836772
0.2,2,lane_split_window,300,5.87901574713656,5.524600000000007,11.702925568987919,2.3666663105771755,7.292554432401644,1.5266666666666666,1.0193318978356487,0.19275763453678119
0.2,2,length_similarity_window,300,6.059664959216893,5.827301438082017,11.827948006450834,2.607233398582131,8.151061970574426,1.2866666666666666,1.0047843144052369,0.1927252220137793
0.2,2,full_rules_continuous,300,6.201896204734078,5.747887407265566,12.181867527360925,2.80799688342593,8.412848674316542,1.26,1.003892967491457,0.19272955613587703
0.2,3,fifo_mixed_window,300,5.061890528390943,5.141728057358279,10.170375171221819,1.4246838318400157,4.645191062068114,1.54,1.0289634849053206,0.21344784718785542
0.2,3,lane_split_window,300,5.136668146693401,5.083765475597403,9.961051000373722,1.9030110024886218,5.4126949685284895,1.3933333333333333,1.0186143676168582,0.21344784718785542
0.2,3,length_similarity_window,300,5.268575910613298,5.182999999999993,10.296445658899643,2.0982868054775587,5.757291628697886,1.2066666666666668,1.003689856408364,0.21344784718785542
0.2,3,full_rules_continuous,300,5.447092269114254,5.381435594039203,10.8419761606486,2.334955538922984,5.994010864284134,1.1866666666666668,1.0030042495105624,0.21344784718785542
0.2,4,fifo_mixed_window,300,5.532710239310821,5.324378773470073,10.60801763411264,1.5702836109372376,4.956068668902674,1.6066666666666667,1.0412284946501993,0.2131154544849006
0.2,4,lane_split_window,300,5.450491716318999,4.814914876036141,11.211685731950945,2.176704760137863,6.438055958317591,1.4133333333333333,1.021159309042304,0.2131154544849006
0.2,4,length_similarity_window,300,5.5767572854866545,5.20171114028085,11.296852262323341,2.355226439291259,6.779934083462991,1.22,1.004479890555895,0.2131154544849006
0.2,4,full_rules_continuous,300,5.640433837278608,5.20171114028085,11.449901446239155,2.4719592716451357,7.744528284230589,1.2266666666666666,1.0037674660104472,0.2131154544849006
0.2,5,fifo_mixed_window,300,4.806928571991438,4.478199999999994,8.976652853106238,1.35110405313873,4.397999502701481,1.4866666666666666,1.0277143613921766,0.20263851631417315
0.2,5,lane_split_window,300,4.773058119189498,4.2829385213579485,8.806629782350722,1.5554974946376732,4.93374031066295,1.3466666666666667,1.0190507438542957,0.20279601957686358
0.2,5,length_similarity_window,300,4.811091613795515,4.106940870556571,9.111327376955082,1.7010136117298738,5.186994922885351,1.18,1.0034822539570598,0.20230606671599338
0.2,5,full_rules_continuous,300,4.8942003869030275,4.106940870556571,9.328683707051692,1.798085320766249,5.341136776765939,1.16,1.003091733554963,0.2028039172116168
0.2,6,fifo_mixed_window,300,5.408497833020735,5.524600000000021,10.252279284458348,1.4994903141236382,4.70127549299461,1.6066666666666667,1.041696399103425,0.21981876215918036
0.2,6,lane_split_window,300,5.246673622262604,5.1562535413437445,9.996155991641002,1.8389081067154824,5.291469786459846,1.3733333333333333,1.0177566798006197,0.2193712057462735
0.2,6,length_similarity_window,300,5.420957219843137,5.524600000000021,10.290924938486024,2.140091326124144,5.77451210926677,1.1933333333333334,1.0034783887629632,0.2193712057462735
0.2,6,full_rules_continuous,300,5.456994509240553,5.524600000000021,10.293010752674187,2.1878663557326474,5.7375717656688074,1.1866666666666668,1.0030438209371462,0.2193712057462735
