sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,0.2862,1.2201,1.11925,0.08958,0.011269999999999877,0.9173428407507582,0.07342021145807721,0.009236947791164558
2,0.2934,1.8905,1.672289,0.193918,0.024293000000000148,0.8845749801639777,0.10257498016397779,0.012850039672044511
3,0.2803,1.6282,1.480505,0.132589,0.01510600000000012,0.9092893993366907,0.08143287065471072,0.009277730008598524
4,0.2765,1.6847,1.467874,0.194898,0.021928000000000197,0.8712969668190181,0.11568706594645929,0.013015967234522583
5,0.2794,1.6557,1.482727,0.15427,0.018703000000000053,0.895528779368243,0.09317509210605786,0.011296128525699133
