sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,2.1271,1.7534,1.110202,0.636195,0.0070030000000002035,0.6331709820919356,0.3628350633055777,0.003993954602486713
2,1.7943,3.5716,1.852166,1.626113,0.09332100000000021,0.518581588083772,0.45528978609026766,0.02612862582596041
3,1.6713,2.6022,1.5588,1.029632,0.01376799999999978,0.5990315886557529,0.3956775036507571,0.00529090769349004
4,1.9911,2.8312,1.520902,1.293283,0.017015000000000002,0.537193416219271,0.4567967646227748,0.006009819157954226
5,1.8341,3.3746,1.884574,1.419501,0.07052500000000017,0.5584584839684703,0.42064274284359626,0.020898773187933435
