profile,status,error,target_quant_req,draft_quant_req,target_quant_resolved,draft_quant_resolved,target_dtype,draft_dtype,target_load_s,draft_load_s,base_wall_s,spec_wall_s,mean_speedup_baseline_over_spec,mean_alpha,mean_verify_steps,slower_samples,n_samples,spec_share_draft,spec_share_verify,spec_share_other,net_extra_vs_baseline_s,mean_draft_elapsed_s,mean_verify_elapsed_s,mean_spec_latency_s,mean_baseline_latency_s,decode_only_speedup,baseline_total_with_target_load_s,spec_total_with_all_load_s,e2e_with_load_speedup,target_quant_fallback,draft_quant_fallback
fp16_target_fp16_draft,ok,,fp16,fp16,fp16,fp16,torch.float16,torch.float16,2.6326161000179127,0.6675154999829829,3.0401772999903187,3.71582519999356,0.8536171157480382,0.48202,4.9,9,10,0.6778961608181596,0.2885530694515841,0.033550769730256225,0.6765000000000001,0.2505572,0.1066521,0.36961,0.30195999999999995,0.8169692378452963,5.672793400008231,7.015956799994456,0.8085559192742912,False,False
int8_target_fp16_draft,ok,,int8,fp16,int8,fp16,torch.bfloat16,torch.float16,5.2020370999816805,0.7141415000078268,18.4985144000093,10.840595000016037,1.7418939989155529,0.48980999999999997,4.7,0,10,0.23125382376045464,0.7581713414352386,0.010574834804306599,-7.6556,0.25022819999999996,0.8203792999999999,1.0820500000000002,1.84761,1.707508895152719,23.70055149999098,16.756773600005545,1.4143863291190577,False,False
int8_target_int8_draft,ok,,int8,int8,int8,int8,torch.bfloat16,torch.bfloat16,4.828380699997069,0.9765820000029635,18.175956099992618,28.58293330000015,0.6527991915735118,0.4956899999999999,4.7,10,10,0.6286325618197032,0.35087582143269763,0.020491616747599146,10.4092,1.7955569,1.0022030999999998,2.85629,1.8153699999999997,0.6355692174113972,23.004336799989687,34.38789600000018,0.6689661036543081,False,False
