sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,0.348,1.2895,1.193716,0.089945,0.005839000000000094,0.9257200465296626,0.06975184179914695,0.004528111671190456
2,0.2794,1.7552,1.563548,0.176447,0.015205000000000163,0.8908090246125797,0.10052814494074748,0.008662830446672836
3,0.2747,1.6285,1.486457,0.132526,0.009517000000000136,0.9127767884556339,0.08137918329751305,0.005844028246853016
4,0.2848,1.6889,1.475851,0.198361,0.014688000000000034,0.873853395701344,0.11744981940908283,0.008696784889573116
5,0.2781,1.721,1.574792,0.131379,0.01482900000000012,0.9150447414294014,0.07633875653689715,0.008616502033701406
