sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,1.7339,0.8712,0.186632,0.668542,0.016025999999999985,0.2142240587695133,0.7673806244260789,0.018395316804407695
2,1.8395,1.6928,0.269411,1.392998,0.030391000000000057,0.15915111058601134,0.8228957939508506,0.01795309546313803
3,2.1052,1.2238,0.283379,0.92539,0.015030999999999906,0.23155662689982023,0.7561611374407583,0.012282235659421397
4,1.6818,1.5532,0.234359,1.290516,0.028324999999999934,0.15088784445016742,0.8308756116404842,0.0182365439093484
5,1.8374,1.5006,0.265538,1.207915,0.02714699999999981,0.17695455151272824,0.8049546847927497,0.018090763694522064
