sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,2.1636,1.7735,1.129427,0.63202,0.012053000000000091,0.6368350718917395,0.3563687623343671,0.006796165773893482
2,1.809,4.0383,1.994916,1.932416,0.11096799999999973,0.4939989599583984,0.47852215040982593,0.027478889631775683
3,1.674,2.6584,1.55046,1.065467,0.04247299999999998,0.5832305145952452,0.4007925820042131,0.015976903400541673
4,1.9869,2.9441,1.494671,1.422678,0.02675099999999997,0.5076835025984172,0.4832301891919432,0.009086308209639607
5,2.1463,2.5491,1.568105,0.961135,0.0198600000000001,0.6151602526381861,0.3770487623082656,0.00779098505354835
