baseline_policy,compare_policy,metric,baseline_mean,compare_mean,abs_delta_compare_minus_base,pct_delta_compare_minus_base,improvement_pct,n_pairs
fifo_mixed_window,full_rules_continuous,mean_latency_s,9.542002055978264,11.14767555647129,1.605673500493027,16.827427735535217,-16.827427735535217,75
fifo_mixed_window,full_rules_continuous,p90_latency_s,15.001367738748414,18.44142052314258,3.4400527843941684,22.93159426729164,-22.93159426729164,75
fifo_mixed_window,full_rules_continuous,mean_wait_s,3.173789490889635,6.596139767497794,3.4223502766081593,107.8316720889025,-107.8316720889025,75
fifo_mixed_window,full_rules_continuous,p90_wait_s,7.182804966821415,13.529495177853832,6.346690211032417,88.3594952159894,-88.3594952159894,75
fifo_mixed_window,full_rules_continuous,throughput_rps,0.3464534801711411,0.34458516103700343,-0.0018683191341376077,-0.5392698417157465,-0.5392698417157465,75
fifo_mixed_window,lane_split_window,mean_latency_s,9.542002055978264,9.78534209787793,0.2433400418996669,2.5501990093075833,-2.5501990093075833,75
fifo_mixed_window,lane_split_window,p90_latency_s,15.001367738748414,16.206446356275787,1.205078617527375,8.033124969096427,-8.033124969096427,75
fifo_mixed_window,lane_split_window,mean_wait_s,3.173789490889635,4.791229289994591,1.6174397991049563,50.96241586746123,-50.96241586746123,75
fifo_mixed_window,lane_split_window,p90_wait_s,7.182804966821415,10.308656179274388,3.1258512124529734,43.51853108767127,-43.51853108767127,75
fifo_mixed_window,lane_split_window,throughput_rps,0.3464534801711411,0.34578462334914395,-0.0006688568219971088,-0.19305819115071582,-0.19305819115071582,75
fifo_mixed_window,length_similarity_window,mean_latency_s,9.542002055978264,10.910993213999244,1.3689911580209801,14.347001289559339,-14.347001289559339,75
fifo_mixed_window,length_similarity_window,p90_latency_s,15.001367738748414,18.171712413927967,3.1703446751795528,21.133704142126838,-21.133704142126838,75
fifo_mixed_window,length_similarity_window,mean_wait_s,3.173789490889635,6.188252798788641,3.014463307899007,94.97993854198667,-94.97993854198667,75
fifo_mixed_window,length_similarity_window,p90_wait_s,7.182804966821415,12.990837860345323,5.808032893523908,80.86023385504953,-80.86023385504953,75
fifo_mixed_window,length_similarity_window,throughput_rps,0.3464534801711411,0.3450114669909119,-0.001442013180229168,-0.41622130033643834,-0.41622130033643834,75
