sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,0.3391,1.2952,1.173129,0.121162,0.0009089999999998127,0.905751235330451,0.09354694255713404,0.0007018221124149265
2,0.3473,1.7681,1.614576,0.152174,0.00134999999999999,0.9131700695662011,0.08606639895933488,0.0007635314744641084
3,0.3592,2.2744,2.090409,0.18224,0.0017509999999997805,0.9191034998241295,0.08012662680267324,0.0007698733731972303
4,0.3445,2.1812,1.997411,0.181977,0.0018119999999999803,0.9157395011920044,0.08342976343297268,0.0008307353750229141
5,0.3482,2.2926,2.080237,0.210345,0.0020180000000002973,0.9073702346680623,0.0917495420047108,0.0008802233272268591
