sample_idx,baseline_latency_s,spec_latency_s,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share,verify_share,other_share
1,1.5531,1.746,1.16878,0.576241,0.0009790000000000632,0.6694043528064146,0.3300349369988545,0.0005607101947308495
2,1.5708,3.4529,2.314763,1.135734,0.002402999999999933,0.6703822873526601,0.32892177589852006,0.0006959367488198132
3,1.5446,1.4225,0.982154,0.439619,0.0007270000000001442,0.6904421792618628,0.309046748681898,0.0005110720562391171
4,1.5328,2.4984,1.782091,0.714722,0.001587000000000116,0.7132929074607749,0.2860718860070445,0.000635206532180642
5,1.5421,2.3483,1.627673,0.719312,0.0013150000000001771,0.6931282204147681,0.30631180002555036,0.0005599795596815471
