Metric,Baseline Mean,ACSD Mean,t-statistic,Raw p-value,Adjusted p-value,Statistically Significant
speedup,2.287552505235397,2.2099614704722983,-3.3516026160661543,0.02852634273629575,0.114105370945183,False
ttft_s,0.05049669065531903,0.04936583191073577,-9.592404171630346,0.0006601049666735676,0.003300524833367838,True
tpot_s,0.0029869224774838467,0.0031727965447355642,17.85979972829091,5.775931875154777e-05,0.0003465559125092866,True
rouge_l,0.9233624794745484,0.9059536336670375,-3.313206606159816,0.02956563535374404,0.114105370945183,False
bleu,0.7762489168361932,0.7345540878856692,-2.9339223604668705,0.04264664898758588,0.114105370945183,False
bertscore,0.9233624794745484,0.9059536336670375,-3.313206606159816,0.02956563535374404,0.114105370945183,False
