regime,rescue_alpha,window_size,cooling_tokens,speedup_mean,speedup_std,ttft_s_mean,ttft_s_std,tpot_s_mean,tpot_s_std,p99_latency_s_mean,p99_latency_s_std,accepted_block_mean_mean,accepted_block_mean_std,rouge_l_mean,rouge_l_std,bleu_mean,bleu_std,bertscore_mean,bertscore_std
det,0.2,5,10,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,5,20,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,5,50,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,10,10,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,10,20,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,10,50,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,20,10,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,20,20,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.2,20,50,2.1477978127836157,0.008844637179719866,0.04925515266000116,0.00044689658098728005,0.003284525947747405,2.3320917838834504e-05,0.44077113955351094,0.005602933746183035,8.672748606948607,0.02236376419455543,0.9151935139573071,0.008686849682183579,0.7511031663800487,0.024199960594044626,0.9151935139573071,0.008686849682183579
det,0.4,5,10,2.2188514180234953,0.034678764656114136,0.04939366585086604,0.0005170598314703074,0.0031611335817915316,2.7818457878993296e-05,0.41490303976794507,0.004794845746570662,7.538416644260453,0.09889471655516834,0.9115691138301816,0.006466248193345541,0.7462587483068385,0.026566311394239896,0.9115691138301816,0.006466248193345541
