baseline_policy,compare_policy,metric,median_delta,p90_delta,p10_delta,median_abs_delta,p90_abs_delta,n_pairs
fifo_mixed_window,full_rules_continuous,mean_latency_s,0.43028651495969505,1.0801984038352572,0.09331073015920542,0.43028651495969505,1.0801984038352572,75
fifo_mixed_window,full_rules_continuous,p90_latency_s,0.9791629408055904,2.6086861990804353,0.29192024735367034,0.9791629408055904,2.6086861990804353,75
fifo_mixed_window,full_rules_continuous,mean_wait_s,1.2427566431514308,2.2447693482703532,0.4107740057220256,1.2427566431514308,2.2447693482703532,75
fifo_mixed_window,full_rules_continuous,p90_wait_s,2.776041548146253,4.140304299528678,1.1064395459467626,2.776041548146253,4.140304299528678,75
fifo_mixed_window,full_rules_continuous,throughput_rps,-4.518104282127961,-0.3715225144107466,-12.138589626807965,4.905700796793866,12.475624785007357,75
fifo_mixed_window,lane_split_window,mean_latency_s,0.08012997512366393,0.30593856293133814,-0.1092120179180041,0.11048317406078656,0.30593856293133814,75
fifo_mixed_window,lane_split_window,p90_latency_s,0.35382453607992215,0.9616670901040093,-0.16341218035156224,0.3775844245690685,0.9616670901040093,75
fifo_mixed_window,lane_split_window,mean_wait_s,0.672717259669398,1.1595641407187391,0.2665122685814788,0.672717259669398,1.1595641407187391,75
fifo_mixed_window,lane_split_window,p90_wait_s,1.5250823201951276,2.3042257727287003,0.659944457362219,1.5250823201951276,2.3042257727287003,75
fifo_mixed_window,lane_split_window,throughput_rps,-2.4619016559516353,0.5106041662280507,-6.490125038978645,2.7252140108184264,7.14717391934979,75
fifo_mixed_window,length_similarity_window,mean_latency_s,0.29366690253208017,1.0322326908243,0.009287045856268786,0.29366690253208017,1.0322326908243,75
fifo_mixed_window,length_similarity_window,p90_latency_s,0.6633466128310186,2.1403018619774734,-0.006997905249766486,0.6633466128310186,2.1403018619774734,75
fifo_mixed_window,length_similarity_window,mean_wait_s,1.0739978867728217,1.9483048847548559,0.35298958786608753,1.0739978867728217,1.9483048847548559,75
fifo_mixed_window,length_similarity_window,p90_wait_s,2.194717095439107,3.948766883893783,0.8368060112373188,2.194717095439107,3.948766883893783,75
fifo_mixed_window,length_similarity_window,throughput_rps,-4.518104282127961,0.0,-11.325475954111345,4.905700796793866,12.887774500356489,75
