arrival_rate_rps,trial,policy,n_requests,mean_latency_s,p50_latency_s,p90_latency_s,mean_wait_s,p90_wait_s,mean_batch_size,mean_hetero_penalty,throughput_rps
0.2,0,fifo_mixed_window,300,4.273135688688139,4.428562278176017,7.799616953297492,1.1121459415739834,3.6022458161290305,1.3933333333333333,1.0222142687387639,40.29361342910475
0.2,0,lane_split_window,300,4.353265663811803,4.540901093306971,8.15038212470397,1.3820363711698473,4.450306880984579,1.3066666666666666,1.0145025104829457,37.568399418286326
0.2,0,length_similarity_window,300,4.387513708431966,4.605199999999968,8.278745720132171,1.4534891090969233,4.459506176152982,1.16,1.003057380212887,40.256072039131745
0.2,0,full_rules_continuous,300,4.409796755509813,4.605199999999968,8.278745720132171,1.517186095636897,4.692833164462321,1.1333333333333333,1.0021740285940397,37.91303697325006
0.2,1,fifo_mixed_window,300,4.1723630907673,3.980886626184059,8.348546376082576,1.0379621217989268,3.8360179508829675,1.3333333333333333,1.0196718834644067,32.27824535561808
0.2,1,lane_split_window,300,4.251547649236321,3.922968855614272,8.622840479557667,1.302222283037482,4.424454226634848,1.2466666666666666,1.0107805890298276,32.27824535561808
0.2,1,length_similarity_window,300,4.29933791095435,4.020836405366907,8.73394180775385,1.4084213401797356,4.424454226634848,1.14,1.002142399065839,32.27824535561808
0.2,1,full_rules_continuous,300,4.319792122474331,4.034702281883682,8.765834200063257,1.4308729591071248,4.560129349779664,1.1333333333333333,1.0020270144504544,32.27824535561808
0.2,2,fifo_mixed_window,300,4.747775500789446,4.657727154939977,9.389331873484403,1.3643751788006655,4.406205808425462,1.6133333333333333,1.030115168336378,27.522476254614205
0.2,2,lane_split_window,300,4.856604136777799,4.699673519311574,9.685224401999472,1.8302197283709165,6.066466326330698,1.4133333333333333,1.0172841350350779,27.35917306423814
0.2,2,length_similarity_window,300,5.013525899355678,4.73991414376561,9.981238100157999,2.054682996407396,6.600922903864569,1.2266666666666666,1.0035387343497477,24.38957993782975
0.2,2,full_rules_continuous,300,5.100472824320781,4.905699999999999,10.066991158083171,2.163762414237629,6.786193495437817,1.2,1.0030536684163662,21.392472238097888
0.2,3,fifo_mixed_window,300,4.225680068286401,4.1655724811546975,8.195202864481239,1.084422251041479,3.848449462469398,1.4733333333333334,1.0263473266897492,31.437078154850404
0.2,3,lane_split_window,300,4.296276964229179,3.8240227307558996,8.35012640210075,1.5141296880892734,4.552493074202426,1.3533333333333333,1.0148775947536857,30.098932806314505
0.2,3,length_similarity_window,300,4.381590500144728,4.263801934364267,8.592119111696448,1.6257893182495735,4.643275473664338,1.1466666666666667,1.002839301844778,25.5101878376948
0.2,3,full_rules_continuous,300,4.508719903240111,4.31804186008992,8.9537822290981,1.802580079534004,5.131528263119913,1.1333333333333333,1.0024237360981096,25.5101878376948
0.2,4,fifo_mixed_window,300,4.613138272936127,4.253300000000081,9.335065836935058,1.2694891482200057,4.188677324258792,1.4666666666666666,1.0345802568266405,23.61266560798869
0.2,4,lane_split_window,300,4.500280194091439,4.081938587283503,9.184781560035225,1.6601171008677527,5.252074984887549,1.36,1.019423383256072,21.873717004357403
0.2,4,length_similarity_window,300,4.62783234851918,4.199524695840466,9.23448194501724,1.8355515743236905,5.7287526376176885,1.1933333333333334,1.0036629790634568,21.794981026650447
0.2,4,full_rules_continuous,300,4.719243819463788,4.253300000000081,9.532769728355472,1.971435449325423,6.4842947509854385,1.1733333333333333,1.0027753046762833,21.02564165136702
