Mode,Target,Draft,Drafting (s),Verify (s),Other (s),Drafting %,Verify %,Other %,Samples
Deterministic,FP16,FP16,0.2291026,0.1467904,0.016306999999999957,58.78614224635547,36.72760976026912,4.486247993375402,5
Deterministic,FP16,INT8,1.4588728,0.14573160000000002,0.01201560000000006,90.36407993457244,8.908954919667742,0.726965145759814,5
Deterministic,INT8,FP16,0.22855280000000003,1.08348,0.013967200000000003,17.712955776435297,81.25189950228625,1.035144721278444,5
Deterministic,INT8,INT8,1.5853287999999996,1.2009447999999998,0.04032640000000004,56.92872118038403,41.82483721025947,1.246441609356494,5
Stochastic,FP16,FP16,0.2370874,0.1268254,0.01442719999999996,62.90134749477417,33.316418403082025,3.7822341021437875,5
Stochastic,FP16,INT8,1.444529,0.153051,0.01826000000000002,89.56065932877377,9.325804406585652,1.113536264640582,5
Stochastic,INT8,FP16,0.24786380000000002,1.0970722,0.023383999999999898,18.65548384436481,79.64535704501843,1.699159110616746,5
Stochastic,INT8,INT8,1.5475158,1.2027432,0.04242099999999992,56.73816603363973,41.9192489249723,1.34258504138797,5
