mode,k,max_new_tokens,prompt_bucket,sample_idx,prompt_tokens,baseline_latency_s,spec_latency_s,speedup,alpha,draft_s,verify_s,other_s,draft_share,verify_share,other_share
Deterministic,2,12,short,1,10,0.5494,0.363,1.5134986225895317,0.38461538461538464,0.198853,0.155461,0.008686,0.5478044077134987,0.42826721763085396,0.023928374655647382
Deterministic,2,12,short,2,10,0.2731,0.3035,0.8998352553542011,0.5454545454545454,0.167487,0.128197,0.00781599999999999,0.551851729818781,0.42239538714991764,0.025752883031301448
Deterministic,2,12,medium,1,40,0.2728,0.4065,0.6710947109471095,0.26666666666666666,0.226575,0.168893,0.011031999999999986,0.5573800738007381,0.4154809348093481,0.027138991389913866
Deterministic,2,12,medium,2,40,0.2733,0.2532,1.0793838862559242,0.7777777777777778,0.138729,0.107916,0.006554999999999991,0.5479028436018958,0.4262085308056872,0.02588862559241703
Deterministic,2,12,long,1,284,0.2771,0.3775,0.7340397350993377,0.35714285714285715,0.216505,0.148767,0.012227999999999989,0.573523178807947,0.39408476821192057,0.03239205298013242
Deterministic,2,12,long,2,284,0.2805,0.2731,1.0270963017209813,0.7,0.155076,0.108035,0.009989000000000012,0.5678359575247162,0.39558769681435374,0.036576345660930105
Deterministic,2,32,short,1,10,0.7167,0.9314,0.7694867940734378,0.4,0.527124,0.376731,0.027544999999999986,0.5659480352158042,0.4044782048529096,0.02957375993128622
Deterministic,2,32,short,2,10,0.718,0.9942,0.7221886944276805,0.34210526315789475,0.572638,0.397924,0.023637999999999992,0.5759786763226715,0.4002454234560451,0.02377590022128344
Deterministic,2,32,medium,1,40,0.7274,1.0384,0.7005007704160247,0.3076923076923077,0.592421,0.418484,0.02749499999999999,0.5705132896764252,0.4030084745762712,0.026478235747303538
Deterministic,2,32,medium,2,40,0.7322,0.9928,0.7375100725221595,0.35135135135135137,0.562697,0.405233,0.024870000000000003,0.5667778001611603,0.4081718372280419,0.025050362610797745
Deterministic,2,32,long,1,284,0.7332,1.012,0.7245059288537549,0.34210526315789475,0.581288,0.402623,0.028088999999999975,0.5743952569169961,0.397848814229249,0.027755928853754917
Deterministic,2,32,long,2,284,0.7265,0.97,0.7489690721649485,0.3888888888888889,0.552868,0.388762,0.02836999999999995,0.5699670103092784,0.40078556701030926,0.029247422680412322
Deterministic,2,64,short,1,10,1.4537,1.8997,0.7652260883297363,0.3888888888888889,1.094211,0.758054,0.047434999999999894,0.5759914723377376,0.39903879559930516,0.024969732062957255
Deterministic,2,64,short,2,10,1.4491,1.9034,0.7613218451192603,0.3888888888888889,1.099383,0.756581,0.047436000000000034,0.5775890511715877,0.39748922979930645,0.024921719029105827
Deterministic,2,64,medium,1,40,1.4545,2.1023,0.6918612947723921,0.3037974683544304,1.202891,0.84544,0.053969000000000156,0.5721785663321124,0.4021500261618227,0.02567140750606486
Deterministic,2,64,medium,2,40,1.4532,1.9534,0.7439336541414969,0.36486486486486486,1.123562,0.77986,0.04997800000000008,0.5751827582676359,0.3992321081191768,0.025585133613187303
Deterministic,2,64,long,1,284,1.4556,1.7059,0.8532739316489829,0.515625,0.978171,0.681139,0.04658999999999991,0.5734046544346093,0.39928424878363333,0.027311096781757378
Deterministic,2,64,long,2,284,1.4475,1.9868,0.7285584860076505,0.36,1.135967,0.795589,0.05524399999999996,0.5717570968391383,0.40043738675256696,0.027805516408294727
Deterministic,4,12,short,1,10,0.2736,0.2937,0.9315628192032687,0.6153846153846154,0.198501,0.088472,0.006727000000000011,0.6758631256384066,0.30123255022131423,0.022904324140279233
Deterministic,4,12,short,2,10,0.2724,0.4257,0.6398872445384073,0.3157894736842105,0.286924,0.130295,0.008481000000000016,0.6740051679586563,0.3060723514211886,0.019922480620155076
Deterministic,4,12,medium,1,40,0.2763,0.3774,0.732114467408585,0.4117647058823529,0.258396,0.111681,0.007322999999999996,0.6846740858505564,0.2959220985691574,0.019403815580286157
Deterministic,4,12,medium,2,40,0.2763,0.2576,1.0725931677018634,0.75,0.184017,0.068926,0.004657000000000008,0.7143517080745341,0.2675698757763975,0.018078416149068355
Deterministic,4,12,long,1,284,0.2769,0.3833,0.7224106444038612,0.4117647058823529,0.262796,0.108933,0.011570999999999998,0.6856144012522828,0.28419775632663713,0.03018784242108009
Deterministic,4,12,long,2,284,0.2788,0.4045,0.6892459826946847,0.42105263157894735,0.287498,0.106078,0.010924000000000045,0.7107490729295426,0.26224474660074165,0.02700618046971581
Deterministic,4,32,short,1,10,0.7237,0.9675,0.7480103359173127,0.43478260869565216,0.694351,0.254952,0.018196999999999963,0.7176754521963825,0.26351627906976743,0.01880826873385009
Deterministic,4,32,short,2,10,0.7274,1.1528,0.6309854267869536,0.32142857142857145,0.839447,0.29468,0.018672999999999995,0.7281809507286606,0.2556210964607911,0.016197952810548224
Deterministic,4,32,medium,1,40,0.7116,1.0969,0.6487373507156532,0.33962264150943394,0.784912,0.292852,0.01913599999999993,0.7155729783936549,0.26698149329929804,0.01744552830704707
