baseline_policy,compare_policy,metric,baseline_mean,compare_mean,abs_delta_compare_minus_base,pct_delta_compare_minus_base,improvement_pct,n_pairs
fifo_mixed_window,full_rules_continuous,mean_latency_s,5.232344183908506,5.768382354368894,0.5360381704603884,10.24470393421202,-10.24470393421202,75
fifo_mixed_window,full_rules_continuous,p90_latency_s,9.295317164430868,10.471184064427506,1.1758668999966377,12.650099821189196,-12.650099821189196,75
fifo_mixed_window,full_rules_continuous,mean_wait_s,1.6314042350339912,2.950084408822565,1.318680173788573,80.83098875620472,-80.83098875620472,75
fifo_mixed_window,full_rules_continuous,p90_wait_s,4.411100945883779,7.129055911066326,2.717954965182547,61.61624951518755,-61.61624951518755,75
fifo_mixed_window,full_rules_continuous,throughput_rps,28.384660949269836,16.771914125678386,-11.612746823591452,-40.912050506244206,-40.912050506244206,75
fifo_mixed_window,lane_split_window,mean_latency_s,5.232344183908506,5.324200743546773,0.09185655963826735,1.755552700847968,-1.755552700847968,75
fifo_mixed_window,lane_split_window,p90_latency_s,9.295317164430868,9.717821773322605,0.42250460889173597,4.545349033473298,-4.545349033473298,75
fifo_mixed_window,lane_split_window,mean_wait_s,1.6314042350339912,2.3263457470679847,0.6949415120339937,42.59775088909918,-42.59775088909918,75
fifo_mixed_window,lane_split_window,p90_wait_s,4.411100945883779,5.9008546000137665,1.489753654129988,33.77283069253159,-33.77283069253159,75
fifo_mixed_window,lane_split_window,throughput_rps,28.384660949269836,25.994587709873567,-2.3900732393962705,-8.420298708756471,-8.420298708756471,75
fifo_mixed_window,length_similarity_window,mean_latency_s,5.232344183908506,5.648943707820654,0.416599523912148,7.962005351126435,-7.962005351126435,75
fifo_mixed_window,length_similarity_window,p90_latency_s,9.295317164430868,10.21557348872246,0.9202563242915939,9.900214355385465,-9.900214355385465,75
fifo_mixed_window,length_similarity_window,mean_wait_s,1.6314042350339912,2.759013496467277,1.1276092614332853,69.11893675510723,-69.11893675510723,75
fifo_mixed_window,length_similarity_window,p90_wait_s,4.411100945883779,6.787852521380402,2.3767515754966237,53.88114225122168,-53.88114225122168,75
fifo_mixed_window,length_similarity_window,throughput_rps,28.384660949269836,22.41855438482894,-5.966106564440894,-21.018769873995502,-21.018769873995502,75
